"Device","Standard Name","Display Name","Units","Timestamp","Timezone","Value"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 11:15","undefined","37.28"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 11:30","undefined","37.12"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 11:45","undefined","36.95"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 12:00","undefined","37.46"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 12:15","undefined","37.22"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 12:30","undefined","37.41"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 12:45","undefined","37.52"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 13:00","undefined","37.67"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 13:15","undefined","37.19"
"UU1_ELEC","em_ActEnergyDlvd","Active Energy Delivered","kWh","01/03/15 13:30","undefined","37.58"
